NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,geometry,distance_to_river
tangerang,kronjo,6.849,21.844,36.05,4.048,Cropland,0.331,0.069,35.968,2024,10,0,-6.0703,106.4282,POINT (658053.8304056993 9328815.962244237),20031.100360387132
tangerang,panongan,41.336,54.979,36.75,36.953,Tree cover,0.486,0.192,38.229,2020,10,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
tangerang,panongan,20.25,41.033,31.71,36.953,Tree cover,0.565,0.192,39.733,2024,5,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
bogor,jonggol,45.733,80.402,29.14,186.743,Tree cover,0.552,2.153,38.296,2022,2,0,-6.4961,107.0456,POINT (726219.4565490088 9281497.929332044),15539.59088720551
tangerang,legok,34.649,86.998,33.81,43.009,Tree cover,0.591,0.179,40.697,2021,4,0,-6.3048,106.565,POINT (673120.1822470208 9302842.29309529),16883.843535906457
tangerang,rajeg,50.204,85.531,31.43,8.659,Cropland,0.301,0.105,38.265,2024,1,0,-6.1163,106.5103,POINT (667127.3255612871 9323704.616820605),9663.439969200155
bogor,tamansari,57.57,108.486,28.63,715.585,Tree cover,0.486,6.987,39.625,2020,1,0,-6.6564,106.7458,POINT (692992.262812293 9263893.753955958),46307.84986100699
jakarta pusat,joharbaru,20.291,35.416,36.53,8.969,Built-up,0.169,0.076,36.954,2021,5,0,-6.1821,106.8546,POINT (705213.6381132025 9316307.877614168),17094.209263304983
jakarta barat,palmerah,29.149,40.752,39.31,10.559,Built-up,0.161,0.122,37.78,2024,12,0,-6.1917,106.7956,POINT (698679.4956296096 9315268.562362932),18848.45458549404
tangerang,jayanti,26.401,35.122,31.51,18.626,Tree cover,0.525,0.144,37.732,2022,6,0,-6.2068,106.3983,POINT (654704.8523938915 9313731.09135909),22349.199143457023
tangerang,cikupa,3.156,3.853,37.23,25.2,Built-up,0.358,0.147,25.558,2023,9,0,-6.218,106.5159,POINT (667715.1820186134 9312456.792871252),11388.020621297777
kota bogor,bogortimur,57.163,107.803,36.06,322.856,Built-up,0.371,1.429,39.14,2021,12,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
tangerang,pakuhaji,13.678,32.264,31.01,3.922,Cropland,0.426,0.061,34.958,2023,7,0,-6.0602,106.6063,POINT (677771.637095591 9329877.652507586),9826.640415446362
bogor,rancabungur,73.546,123.512,32.32,144.929,Tree cover,0.699,0.575,38.198,2023,4,0,-6.5217,106.7137,POINT (689493.8126745741 9278803.076478157),37365.11261547882
depok,pancoranmas,77.016,130.324,38.49,89.403,Built-up,0.357,0.285,40.853,2022,10,0,-6.3984,106.7998,POINT (699065.6022629791 9292406.58877195),21727.821554692066
tangerang selatan,setu,71.416,133.482,36.2,54.164,Tree cover,0.432,0.359,39.921,2023,11,0,-6.3637,107.0373,POINT (725359.5351104357 9296146.739579484),3971.5363466737367
kota bekasi,bekasitimur,10.934,42.653,38.5,19.269,Built-up,0.288,0.113,27.685,2020,8,0,-6.2421,107.0191,POINT (723397.5460750575 9309604.930057365),1619.590600797398
bogor,parung,78.352,128.176,25.97,104.116,Tree cover,0.373,0.338,42.126,2021,2,0,-6.4349,106.7128,POINT (689426.6526209877 9288402.857118463),31745.54743346826
jakarta timur,cakung,11.418,27.865,37.16,7.969,Built-up,0.299,0.102,35.176,2020,7,0,-6.1885,106.9409,POINT (714763.7618073723 9315565.917541238),8394.30821638322
bogor,parungpanjang,34.307,77.445,31.24,65.388,Tree cover,0.627,0.569,40.422,2023,1,0,-6.3768,106.5551,POINT (672000.9071531394 9294883.550906416),24816.12758868164
jakarta pusat,senen,72.035,123.383,39.51,10.007,Built-up,0.193,0.092,37.605,2020,1,0,-6.1842,106.8459,POINT (704249.8384030734 9316078.969037332),17714.606411145458
bogor,gunungputri,33.091,44.145,35.6,81.462,Built-up,0.516,0.389,41.041,2021,3,0,-6.4052,106.9313,POINT (713612.4642136961 9291601.658223456),12052.618439842345
tangerang,rajeg,32.656,85.943,31.72,8.659,Cropland,0.477,0.105,36.408,2022,9,0,-6.1163,106.5103,POINT (667127.3255612871 9323704.616820605),9663.439969200155
bogor,rumpin,51.398,103.123,31.19,152.23,Tree cover,0.617,1.981,40.954,2022,12,0,-6.4596,106.6311,POINT (680379.8728586448 9285700.900116798),33035.42646131968
tangerang,cikupa,15.239,27.113,33.82,25.2,Built-up,0.473,0.147,35.759,2020,6,0,-6.218,106.5159,POINT (667715.1820186134 9312456.792871252),11388.020621297777
jakarta utara,tanjungpriok,2.301,6.697,37.93,4.06,Built-up,0.2,0.101,33.061,2023,10,0,-6.1319,106.875,POINT (707491.2045186862 9321852.133543443),17999.918552745694
jakarta pusat,tanahabang,6.089,8.26,35.75,12.45,Built-up,0.311,0.13,32.778,2023,8,0,-6.2054,106.8094,POINT (700201.7667573357 9313748.196136082),20035.957686978367
bekasi,karangbahagia,20.714,43.495,32.39,10.334,Cropland,0.503,0.08,35.544,2021,6,0,-6.2172,107.197,POINT (743101.3525686461 9312280.629798936),8166.496582903672
tangerang selatan,ciputat,41.242,74.295,38.63,44.431,Built-up,0.362,0.212,40.826,2022,2,0,-6.3082,106.7277,POINT (691121.9064705233 9302409.452644506),19714.870207297878
bekasi,cabangbungin,28.722,67.391,33.65,3.757,Cropland,0.41,0.053,35.536,2020,11,0,-6.0781,107.1363,POINT (736443.1699495724 9327695.18179819),1122.561031192947
kota bogor,bogorselatan,21.713,55.06,30.44,368.391,Tree cover,0.589,1.807,34.532,2023,7,0,-6.6447,106.8135,POINT (700483.4164981227 9265160.801727852),41550.66807169772
bogor,nanggung,56.787,73.315,25.55,848.241,Tree cover,0.555,5.957,38.957,2024,2,0,-6.6725,106.5377,POINT (669976.1890145141 9262189.800558582),57252.28780877657
bogor,jasinga,64.407,101.367,28.36,163.412,Tree cover,0.562,1.993,38.442,2024,1,0,-6.4806,106.4559,POINT (660993.8886124229 9283437.48564894),39512.99277670693
tangerang,sukadiri,15.281,27.905,34.34,4.864,Cropland,0.344,0.063,36.815,2020,10,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
tangerang selatan,ciputattimur,13.773,27.058,35.55,41.355,Built-up,0.424,0.245,38.98,2020,6,0,-6.2988,106.7556,POINT (694212.7049419298 9303438.725536264),20819.662680844856
bekasi,cikarangutara,74.31,102.272,35.65,17.902,Built-up,0.348,0.13,35.039,2024,11,0,-6.2754,107.1556,POINT (738491.8676292902 9305861.400529686),4805.7551362756185
depok,beji,41.33,85.361,37.59,78.676,Built-up,0.292,0.279,41.41,2022,12,0,-6.3731,106.819,POINT (701199.7852767789 9295197.252122458),18577.35084631599
jakarta barat,palmerah,20.844,58.958,40.3,10.559,Built-up,0.2,0.122,36.758,2022,9,0,-6.1917,106.7956,POINT (698679.4956296096 9315268.562362932),18848.45458549404
tangerang,curug,39.65,69.639,31.54,30.753,Built-up,0.279,0.142,38.622,2022,2,0,-6.2426,106.5661,POINT (673262.4444316217 9309720.246001033),10523.221235431392
kota bekasi,bekasibarat,20.734,50.272,40.06,17.765,Built-up,0.295,0.161,37.522,2023,4,0,-6.2336,106.9628,POINT (717169.4640095786 9310568.642974202),4063.332701119282
jakarta barat,tambora,25.425,53.404,41.81,5.895,Built-up,0.113,0.048,38.384,2021,11,0,-6.1475,106.8035,POINT (699570.4403676601 9320153.975528037),19451.295796373317
jakarta barat,kalideres,5.567,6.74,35.84,5.258,Built-up,0.269,0.071,31.551,2023,8,0,-6.1346,106.7039,POINT (688550.2228950483 9321616.745360969),8842.964113360542
jakarta timur,matraman,36.517,47.394,38.32,12.702,Built-up,0.215,0.132,38.655,2024,4,0,-6.2036,106.8645,POINT (706301.1134282572 9313926.134618105),14792.832206005345
bekasi,sukawangi,17.568,38.945,31.66,3.12,Cropland,0.444,0.044,32.484,2022,8,0,-6.1187,107.091,POINT (731409.7841978112 9323223.812568711),3715.811230023272
depok,cilodong,60.724,108.975,36.48,106.017,Built-up,0.258,0.295,40.839,2021,1,0,-6.4303,106.8379,POINT (703268.3825380037 9288863.5387525),20374.375232838367
jakarta utara,penjaringan,40.331,57.104,35.15,3.083,Built-up,0.303,0.074,38.677,2024,4,0,-6.115,106.7639,POINT (695198.8561999453 9323762.907350171),15829.156569766958
kota bekasi,bantargebang,25.49,86.207,35.08,46.555,Built-up,0.495,0.262,38.587,2023,5,0,-6.3385,106.9912,POINT (720268.7821834637 9298953.978672836),4303.545702186925
depok,cinere,44.585,81.598,35.83,54.274,Built-up,0.42,0.287,41.151,2024,3,0,-6.3315,106.7894,POINT (697940.5749984542 9299809.522316754),20441.49532242224
depok,limo,14.163,29.117,33.97,73.923,Built-up,0.473,0.284,40.046,2024,5,0,-6.3686,106.7808,POINT (696974.8454233266 9295709.678361736),22335.15284599352
tangerang selatan,ciputat,25.899,38.454,38.25,44.431,Built-up,0.384,0.212,41.194,2021,3,0,-6.3082,106.7277,POINT (691121.9064705233 9302409.452644506),19714.870207297878
bogor,caringin,31.608,60.298,26.78,765.651,Tree cover,0.576,4.954,34.826,2021,8,0,-6.7366,106.866,POINT (706250.7211116689 9254974.847519254),46362.32308333035
bogor,pamijahan,67.167,115.626,27.62,827.34,Tree cover,0.678,5.169,39.219,2020,3,0,-6.6933,106.6596,POINT (683446.7229882795 9259845.809448145),55201.54245764891
depok,cinere,41.256,61.113,38.75,54.274,Built-up,0.427,0.287,41.6,2020,3,0,-6.3315,106.7894,POINT (697940.5749984542 9299809.522316754),20441.49532242224
bogor,rumpin,20.371,34.874,33.86,152.23,Tree cover,0.6,1.981,28.38,2023,10,0,-6.4596,106.6311,POINT (680379.8728586448 9285700.900116798),33035.42646131968
bogor,sukaraja,64.102,112.71,34.05,276.337,Tree cover,0.618,1.706,37.93,2023,4,0,-6.5792,106.8408,POINT (703529.265472669 9272394.003395574),33710.49460473071
jakarta barat,kalideres,7.37,12.22,35.82,5.258,Built-up,0.264,0.071,33.937,2024,8,0,-6.1346,106.7039,POINT (688550.2228950483 9321616.745360969),8842.964113360542
jakarta barat,kembangan,28.654,57.834,41.51,10.349,Built-up,0.288,0.126,38.305,2021,11,0,-6.1982,106.7418,POINT (692722.4442272573 9314569.538759),13251.8651234009
kota bekasi,bekasiutara,32.288,66.149,36.71,13.259,Built-up,0.165,0.12,38.035,2020,12,0,-6.2074,107.0064,POINT (722006.403838044 9313448.460254326),1974.3997921613877
tangerang,panongan,23.487,72.341,32.2,36.953,Tree cover,0.575,0.192,37.765,2022,7,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
jakarta pusat,tanahabang,39.385,61.621,40.73,12.45,Built-up,0.289,0.13,38.65,2020,3,0,-6.2054,106.8094,POINT (700201.7667573357 9313748.196136082),20035.957686978367
bogor,parungpanjang,4.55,5.344,34.94,65.388,Tree cover,0.524,0.569,21.878,2023,9,0,-6.3768,106.5551,POINT (672000.9071531394 9294883.550906416),24816.12758868164
jakarta timur,jatinegara,10.862,47.88,38.85,18.159,Built-up,0.239,0.126,34.128,2020,8,0,-6.2273,106.8774,POINT (707719.6564290033 9311299.840610106),12207.747681903671
depok,beji,45.195,73.63,36.03,78.676,Built-up,0.4,0.279,40.568,2022,1,0,-6.3731,106.819,POINT (701199.7852767789 9295197.252122458),18577.35084631599
jakarta timur,ciracas,61.712,121.704,35.73,53.48,Built-up,0.195,0.263,41.09,2023,2,0,-6.3339,106.8784,POINT (707788.0364956328 9299509.302393299),10877.117567142148
bogor,parung,66.346,147.51,33.36,104.116,Tree cover,0.62,0.338,37.891,2021,9,0,-6.4349,106.7128,POINT (689426.6526209877 9288402.857118463),31745.54743346826
tangerang,mekarbaru,48.921,103.617,37.73,4.93,Cropland,0.4,0.066,38.554,2021,11,0,-6.062,106.3871,POINT (653506.8998727975 9329745.5508778),24558.563235960406
depok,cilodong,69.862,194.488,38.34,106.017,Built-up,0.373,0.295,39.61,2022,9,0,-6.4303,106.8379,POINT (703268.3825380037 9288863.5387525),20374.375232838367
tangerang,legok,49.782,98.432,36.69,43.009,Tree cover,0.473,0.179,40.666,2020,11,0,-6.3048,106.565,POINT (673120.1822470208 9302842.29309529),16883.843535906457
tangerang,cisauk,18.301,37.713,32.37,51.37,Tree cover,0.623,0.313,36.044,2020,7,0,-6.3391,106.6302,POINT (680322.5883389078 9299027.04612986),19709.554668696772
jakarta barat,kembangan,44.083,68.657,37.64,10.349,Built-up,0.321,0.126,38.427,2024,2,0,-6.1982,106.7418,POINT (692722.4442272573 9314569.538759),13251.8651234009
kota tangerang,cipondoh,35.617,69.664,42.01,11.897,Built-up,0.272,0.115,38.259,2021,11,0,-6.1862,106.683,POINT (686218.8184356558 9315917.62335792),6706.636304784527
kota bogor,bogortimur,24.761,65.78,33.2,322.856,Built-up,0.525,1.429,36.037,2020,6,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
depok,beji,59.79,105.384,36.48,78.676,Built-up,0.241,0.279,40.839,2021,1,0,-6.3731,106.819,POINT (701199.7852767789 9295197.252122458),18577.35084631599
jakarta timur,cakung,29.924,68.733,39.72,7.969,Built-up,0.147,0.102,38.286,2022,12,0,-6.1885,106.9409,POINT (714763.7618073723 9315565.917541238),8394.30821638322
jakarta barat,palmerah,79.385,133.353,38.11,10.559,Built-up,0.161,0.122,38.721,2021,2,0,-6.1917,106.7956,POINT (698679.4956296096 9315268.562362932),18848.45458549404
jakarta utara,tanjungpriok,6.203,18.033,37.92,4.06,Built-up,0.163,0.101,36.955,2024,10,0,-6.1319,106.875,POINT (707491.2045186862 9321852.133543443),17999.918552745694
bekasi,sukatani,18.562,34.258,31.45,9.292,Cropland,0.505,0.08,35.417,2021,5,0,-6.1918,107.1559,POINT (738562.8764925648 9315109.104454987),11890.650799605062
jakarta barat,kalideres,35.563,59.072,39.17,5.258,Built-up,0.314,0.071,38.589,2020,3,0,-6.1346,106.7039,POINT (688550.2228950483 9321616.745360969),8842.964113360542
tangerang,panongan,8.634,11.404,33.08,36.953,Tree cover,0.491,0.192,29.475,2023,8,0,-6.2789,106.5262,POINT (668835.4818942363 9305719.085884267),16160.953799400004
bekasi,serangbaru,60.477,125.595,35.32,47.778,Tree cover,0.486,0.25,35.48,2020,11,0,-6.3956,107.1143,POINT (733866.2794337678 9292583.801592132),6160.159970440887
tangerang,gunungkaler,55.394,79.709,31.52,8.194,Cropland,0.566,0.068,39.184,2024,4,0,-6.0957,106.3742,POINT (652069.5520153408 9326022.848388338),24750.374204487278
depok,sukmajaya,37.692,82.61,38.12,88.001,Built-up,0.302,0.34,40.535,2023,1,0,-6.3973,106.8436,POINT (703912.1289661278 9292511.072068147),17557.73193509745
bekasi,cikarangpusat,38.513,74.222,34.27,34.68,Built-up,0.508,0.347,37.996,2024,3,0,-6.3596,107.1836,POINT (741552.1237435958 9296534.160016172),8816.405016944904
bogor,tanjungsari,52.151,89.218,26.67,362.528,Tree cover,0.598,5.549,38.689,2024,1,0,-6.6115,107.1406,POINT (736675.57655031 9268688.898746451),16851.47349112464
kota tangerang,benda,33.491,64.017,42.37,8.372,Built-up,0.327,0.098,38.259,2021,11,0,-6.13,106.6657,POINT (684323.4810239893 9322138.7442283),5328.597405249021
kota tangerang,tangerang,54.733,72.259,37.62,17.193,Built-up,0.298,0.112,38.383,2024,11,0,-6.1888,106.6406,POINT (681525.2226296525 9315644.76685823),3417.4577635056903
kota bogor,bogortengah,40.44,85.144,32.57,250.378,Built-up,0.432,0.88,35.963,2024,6,0,-6.5932,106.7986,POINT (698856.2972596044 9270862.620638829),37288.018195978104
bogor,dramaga,41.396,87.306,30.11,248.285,Tree cover,0.653,1.71,36.246,2024,6,0,-6.5888,106.7298,POINT (691249.0271289409 9271376.144020798),41347.17393036368
depok,cinere,43.328,78.935,38.14,54.274,Built-up,0.356,0.287,40.782,2022,2,0,-6.3315,106.7894,POINT (697940.5749984542 9299809.522316754),20441.49532242224
bogor,cigombong,62.615,106.969,27.99,688.475,Tree cover,0.609,4.624,38.631,2024,3,0,-6.7461,106.8128,POINT (700364.6219837447 9253946.311583566),51644.24892956076
jakarta barat,kebonjeruk,15.995,52.498,36.32,10.059,Built-up,0.263,0.118,36.081,2023,6,0,-6.1895,106.7691,POINT (695747.2113887263 9315521.715112217),15923.617522528884
kota tangerang,periuk,25.514,63.859,33.4,12.531,Built-up,0.323,0.129,36.032,2024,6,0,-6.1675,106.5943,POINT (676408.0661041676 9318015.826213932),1964.1830459442085
kota bogor,bogortimur,110.875,281.509,37.85,322.856,Built-up,0.46,1.429,36.575,2021,10,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
bekasi,bojongmangu,31.16,52.184,30.09,48.869,Tree cover,0.744,0.584,35.564,2021,5,0,-6.4389,107.1778,POINT (740873.0361174182 9287764.521096295),14387.643384359684
bekasi,cikarangbarat,35.062,95.133,38.45,29.644,Built-up,0.343,0.174,33.056,2022,9,0,-6.2973,107.0941,POINT (731674.8920802455 9303466.519225938),2009.7836201752816
kota bekasi,bekasibarat,17.894,34.918,41.34,17.765,Built-up,0.257,0.161,35.142,2020,9,0,-6.2336,106.9628,POINT (717169.4640095786 9310568.642974202),4063.332701119282
bogor,tenjo,43.779,69.364,31.77,60.385,Tree cover,0.665,0.368,37.913,2022,1,0,-6.3723,106.4794,POINT (663627.7065364649 9295405.79750304),27714.51695992724
bogor,jasinga,71.616,112.212,32.76,163.412,Tree cover,0.517,1.993,39.417,2021,2,0,-6.4806,106.4559,POINT (660993.8886124229 9283437.48564894),39512.99277670693
jakarta timur,cipayung,11.325,25.503,34.62,48.413,Built-up,0.436,0.257,36.255,2024,8,0,-6.4297,106.8028,POINT (699385.3505370402 9288943.719501592),23316.996948223412
jakarta selatan,jagakarsa,22.543,78.685,35.3,57.304,Built-up,0.421,0.27,39.052,2023,6,0,-6.334,106.8224,POINT (701591.210598548 9299520.329063168),16890.420073910685
kota tangerang,karangtengah,12.076,23.646,36.46,13.076,Built-up,0.377,0.156,35.414,2021,7,0,-6.2101,106.7097,POINT (689165.4297441512 9313265.058075389),10568.381295154777
bekasi,serangbaru,54.233,94.498,29.5,47.778,Tree cover,0.417,0.25,37.51,2024,12,0,-6.3956,107.1143,POINT (733866.2794337678 9292583.801592132),6160.159970440887
jakarta selatan,jagakarsa,24.895,48.363,32.77,57.304,Built-up,0.436,0.27,39.253,2024,6,0,-6.334,106.8224,POINT (701591.210598548 9299520.329063168),16890.420073910685
tangerang,tigaraksa,20.575,41.982,31.3,29.506,Tree cover,0.632,0.225,37.105,2024,5,0,-6.2657,106.4673,POINT (662322.3412949777 9307197.352089038),18918.69063870649
kota bekasi,jatisampurna,12.224,21.729,34.02,69.311,Built-up,0.529,0.278,39.037,2020,6,0,-6.3654,106.9249,POINT (712920.7807628282 9296006.398869412),8552.59468176848
tangerang,sukadiri,22.328,38.039,30.95,4.864,Cropland,0.368,0.063,37.958,2021,3,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
kota bekasi,pondokmelati,52.507,88.506,37.97,38.409,Built-up,0.271,0.242,40.589,2024,12,0,-6.3095,106.9282,POINT (713308.9188346117 9302187.86123476),4892.660507847839
bogor,rumpin,73.762,150.94,30.94,152.23,Tree cover,0.726,1.981,39.939,2020,11,0,-6.4596,106.6311,POINT (680379.8728586448 9285700.900116798),33035.42646131968
bogor,tenjo,48.552,96.899,29.41,60.385,Tree cover,0.462,0.368,38.683,2021,1,0,-6.3723,106.4794,POINT (663627.7065364649 9295405.79750304),27714.51695992724
jakarta utara,kelapagading,20.359,47.665,41.21,5.514,Built-up,0.233,0.062,37.655,2020,11,0,-6.161,106.9037,POINT (710656.8904600275 9318622.396391323),13513.310778681418
jakarta barat,kebonjeruk,7.956,13.878,35.89,10.059,Built-up,0.262,0.118,34.586,2024,8,0,-6.1895,106.7691,POINT (695747.2113887263 9315521.715112217),15923.617522528884
tangerang,tigaraksa,9.695,13.138,32.8,29.506,Tree cover,0.534,0.225,27.853,2023,8,0,-6.2657,106.4673,POINT (662322.3412949777 9307197.352089038),18918.69063870649
tangerang,jayanti,58.142,91.179,35.16,18.626,Tree cover,0.545,0.144,37.684,2022,10,0,-6.2068,106.3983,POINT (654704.8523938915 9313731.09135909),22349.199143457023
bekasi,bojongmangu,21.021,51.774,33.62,48.869,Tree cover,0.538,0.584,36.202,2023,12,0,-6.4389,107.1778,POINT (740873.0361174182 9287764.521096295),14387.643384359684
tangerang,sukadiri,21.89,61.666,30.29,4.864,Cropland,0.483,0.063,36.032,2024,6,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
bogor,cisarua,25.954,55.097,23.41,1216.752,Tree cover,0.748,7.714,35.945,2024,6,0,-6.6985,106.9552,POINT (716130.5715376361 9259150.427675135),37128.79056314979
jakarta barat,kalideres,1.274,1.62,38.12,5.258,Built-up,0.241,0.071,28.16,2023,9,0,-6.1346,106.7039,POINT (688550.2228950483 9321616.745360969),8842.964113360542
jakarta timur,durensawit,32.804,64.403,39.24,16.888,Built-up,0.244,0.139,38.425,2021,11,0,-6.2325,106.9206,POINT (712499.0470222234 9310707.50193039),7912.717985399608
kota tangerang,cipondoh,24.058,43.897,39.55,11.897,Built-up,0.306,0.115,37.958,2021,3,0,-6.1862,106.683,POINT (686218.8184356558 9315917.62335792),6706.636304784527
bogor,tenjo,17.216,52.253,29.39,60.385,Tree cover,0.726,0.368,34.77,2023,7,0,-6.3723,106.4794,POINT (663627.7065364649 9295405.79750304),27714.51695992724
bogor,parungpanjang,33.351,53.119,30.01,65.388,Tree cover,0.688,0.569,41.211,2022,6,0,-6.3768,106.5551,POINT (672000.9071531394 9294883.550906416),24816.12758868164
jakarta utara,penjaringan,31.98,70.363,33.85,3.083,Built-up,0.181,0.074,38.269,2022,12,0,-6.115,106.7639,POINT (695198.8561999453 9323762.907350171),15829.156569766958
tangerang,sukadiri,72.02,119.25,29.32,4.864,Cropland,0.294,0.063,38.758,2021,2,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
jakarta utara,penjaringan,15.926,41.027,34.6,3.083,Built-up,0.295,0.074,36.711,2023,5,0,-6.115,106.7639,POINT (695198.8561999453 9323762.907350171),15829.156569766958
bogor,cibungbulang,46.5,72.764,32.71,236.566,Tree cover,0.531,1.249,37.528,2022,1,0,-6.5761,106.661,POINT (683644.9422195104 9272806.480901984),45706.29499225704
tangerang,kelapadua,41.397,75.083,36.67,27.206,Built-up,0.415,0.146,38.851,2020,5,0,-6.2426,106.6094,POINT (678054.0782210224 9309705.8035857),9085.381898240525
jakarta selatan,kebayoranlama,64.228,131.654,37.34,25.395,Built-up,0.15,0.143,39.642,2023,2,0,-6.2495,106.7801,POINT (696942.3798246027 9308881.915358907),19491.85789866234
bogor,gunungsindur,45.753,87.217,32.81,72.997,Tree cover,0.617,0.372,41.853,2021,12,0,-6.3871,106.6872,POINT (686612.0047075714 9293698.524755452),25880.532012888765
bogor,cigombong,63.951,100.461,27.28,688.475,Tree cover,0.525,4.624,38.667,2024,1,0,-6.7461,106.8128,POINT (700364.6219837447 9253946.311583566),51644.24892956076
depok,tapos,22.633,33.878,36.68,98.048,Built-up,0.5,0.278,39.182,2024,10,0,-6.4192,106.8805,POINT (707986.017358538 9290074.091280716),16266.82584036743
bogor,parung,69.557,127.561,29.44,104.116,Tree cover,0.47,0.338,40.893,2020,1,0,-6.4349,106.7128,POINT (689426.6526209877 9288402.857118463),31745.54743346826
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703,POINT (684821.671689335 9318620.431023618),4659.435962349946
bogor,caringin,37.783,71.341,26.43,765.651,Tree cover,0.741,4.954,36.954,2021,6,0,-6.7366,106.866,POINT (706250.7211116689 9254974.847519254),46362.32308333035
tangerang selatan,pamulang,2.663,3.3,38.18,59.039,Built-up,0.347,0.233,24.567,2023,9,0,-6.3395,106.7391,POINT (692371.8016329615 9298943.679788008),23303.604597002428
kota bogor,bogortimur,75.001,138.296,35.96,322.856,Built-up,0.417,1.429,38.035,2020,11,0,-6.6207,106.8264,POINT (701919.7668698041 9267809.954431932),38542.49095066408
bogor,rumpin,105.517,191.574,31.67,152.23,Tree cover,0.652,1.981,39.471,2023,11,0,-6.4596,106.6311,POINT (680379.8728586448 9285700.900116798),33035.42646131968
jakarta selatan,pancoran,31.952,70.97,37.94,25.372,Built-up,0.248,0.19,40.51,2021,12,0,-6.2553,106.8436,POINT (703967.8326256706 9308216.238014292),14744.299657789503
bogor,klapanunggal,46.075,84.129,23.38,203.856,Tree cover,0.573,3.061,40.163,2023,3,0,-6.483,106.9553,POINT (716235.0304553448 9282986.36391989),18955.348694296346
jakarta pusat,gambir,2.177,9.534,39.69,7.605,Built-up,0.173,0.061,38.384,2021,11,0,-6.1715,106.8181,POINT (701177.5279825472 9317494.161882194),21036.35601142455
jakarta selatan,kebayoranbaru,25.264,56.862,40.14,22.272,Built-up,0.296,0.16,38.524,2020,11,0,-6.2447,106.8014,POINT (699301.4932193585 9309404.75762855),19552.24546024229
kota tangerang,tangerang,50.263,95.267,41.72,17.193,Built-up,0.304,0.112,38.259,2021,11,0,-6.1888,106.6406,POINT (681525.2226296525 9315644.76685823),3417.4577635056903
tangerang,pagedangan,49.042,81.633,34.39,39.721,Tree cover,0.563,0.198,41.242,2022,5,0,-6.2973,106.6175,POINT (678931.790329383 9303653.971698206),15110.099664958256
bogor,sukajaya,57.275,121.367,26.01,847.126,Tree cover,0.755,5.604,37.726,2021,4,0,-6.6313,106.4705,POINT (662559.865223167 9266768.390494455),54456.41643331791
bogor,citeureup,68.563,119.644,25.91,229.087,Tree cover,0.333,2.772,39.217,2023,2,0,-6.525,106.8924,POINT (709259.061347842 9278367.410039168),25968.762920690384
bekasi,cikarangpusat,35.153,69.051,36.18,34.68,Built-up,0.38,0.347,39.054,2021,12,0,-6.3596,107.1836,POINT (741552.1237435958 9296534.160016172),8816.405016944904
tangerang,sukadiri,58.992,135.31,28.47,4.864,Cropland,0.297,0.063,38.005,2023,2,0,-6.0699,106.559,POINT (672532.4991978505 9328820.273373086),9381.4951165674
tangerang,kosambi,15.879,33.438,37.71,3.034,Built-up,0.296,0.058,34.281,2020,9,0,-6.0809,106.685,POINT (686476.7772956 9327562.023913812),10793.457466331121
bekasi,cibitung,31.167,53.224,34.95,14.027,Cropland,0.472,0.106,38.08,2022,3,0,-6.2357,107.1004,POINT (732399.4594658929 9310277.682899047),6824.616386632358
bogor,cariu,22.969,72.894,29.11,143.845,Tree cover,0.7,2.107,33.649,2023,6,0,-6.5273,107.1371,POINT (736328.1880440568 9278004.76808565),18418.769634786255
jakarta selatan,jagakarsa,30.336,85.737,37.98,57.304,Built-up,0.399,0.27,38.923,2021,9,0,-6.334,106.8224,POINT (701591.210598548 9299520.329063168),16890.420073910685
bogor,jasinga,116.575,166.487,28.78,163.412,Tree cover,0.766,1.993,38.863,2024,11,0,-6.4806,106.4559,POINT (660993.8886124229 9283437.48564894),39512.99277670693
tangerang,cisauk,78.455,119.291,32.94,51.37,Tree cover,0.622,0.313,42.223,2024,4,0,-6.3391,106.6302,POINT (680322.5883389078 9299027.04612986),19709.554668696772
tangerang,sepatantimur,16.594,47.719,31.91,9.449,Built-up,0.463,0.066,34.437,2024,7,0,-6.1199,106.6084,POINT (677984.4402300371 9323275.014522897),3332.8531218341445
bogor,tenjolaya,79.845,143.686,27.5,736.012,Tree cover,0.683,6.928,38.504,2020,5,0,-6.6537,106.708,POINT (688813.4066388673 9264206.963037157),48456.60676562059
