NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long,geometry,distance_to_river
kota bogor,bogorselatan,77.586,198.208,32.17,368.391,Tree cover,0.564,1.807,31.504,2024,9,0,-6.6447,106.8135,POINT (700483.4164981227 9265160.801727852),41550.66807169772
bogor,rumpin,51.39,92.13,31.11,152.23,Tree cover,0.752,1.981,39.865,2023,4,0,-6.4596,106.6311,POINT (680379.8728586448 9285700.900116798),33035.42646131968
bogor,gunungsindur,72.26,118.496,32.11,72.997,Tree cover,0.645,0.372,40.935,2022,10,0,-6.3871,106.6872,POINT (686612.0047075714 9293698.524755452),25880.532012888765
tangerang selatan,ciputat,2.389,3.021,38.13,44.431,Built-up,0.326,0.212,23.161,2023,9,0,-6.3082,106.7277,POINT (691121.9064705233 9302409.452644506),19714.870207297878
kota bogor,tanahsareal,45.896,144.892,33.65,184.459,Built-up,0.46,0.639,35.756,2023,6,0,-6.5468,106.7855,POINT (697425.7808965042 9275999.536474949),33858.11161332596
jakarta pusat,kemayoran,71.921,120.964,39.51,6.168,Built-up,0.134,0.103,37.605,2020,1,0,-6.1627,106.8558,POINT (705353.940164686 9318453.052918974),17944.92364254617
tangerang,cisoka,38.915,56.768,32.0,26.713,Tree cover,0.616,0.26,37.243,2022,4,0,-6.2598,106.4167,POINT (656725.2564602571 9307865.135384092),22951.364178695472
depok,cilodong,28.679,56.472,33.05,106.017,Built-up,0.455,0.295,39.253,2024,6,0,-6.4303,106.8379,POINT (703268.3825380037 9288863.5387525),20374.375232838367
tangerang selatan,pondokaren,14.581,34.128,35.96,28.61,Built-up,0.382,0.18,35.994,2020,7,0,-6.2664,106.7114,POINT (689333.3619583108 9307038.140764555),14917.077528185713
bekasi,kedungwaringin,13.198,26.85,32.64,10.722,Cropland,0.607,0.076,34.969,2021,7,0,-6.2516,107.2483,POINT (748764.3824361147 9308451.194605043),2885.724015271498
bogor,tenjolaya,49.565,87.604,25.76,736.012,Tree cover,0.694,6.928,38.066,2022,6,0,-6.6537,106.708,POINT (688813.4066388673 9264206.963037157),48456.60676562059
kota bekasi,pondokmelati,27.649,57.091,37.12,38.409,Built-up,0.439,0.242,40.53,2021,4,0,-6.3095,106.9282,POINT (713308.9188346117 9302187.86123476),4892.660507847839
bekasi,sukatani,11.541,34.564,34.59,9.292,Cropland,0.413,0.08,36.144,2023,12,0,-6.1918,107.1559,POINT (738562.8764925648 9315109.104454987),11890.650799605062
bogor,pamijahan,37.858,149.765,26.55,827.34,Tree cover,0.697,5.169,32.836,2020,8,0,-6.6933,106.6596,POINT (683446.7229882795 9259845.809448145),55201.54245764891
bogor,gunungsindur,22.016,97.656,33.76,72.997,Tree cover,0.606,0.372,31.898,2020,8,0,-6.3871,106.6872,POINT (686612.0047075714 9293698.524755452),25880.532012888765
jakarta pusat,sawahbesar,24.841,41.996,39.69,7.059,Built-up,0.16,0.09,38.017,2021,3,0,-6.1539,106.8332,POINT (702855.6293703405 9319434.96829385),20619.999825768795
bogor,cijeruk,87.165,154.195,29.28,717.352,Tree cover,0.565,7.732,38.036,2020,11,0,-6.686,106.7843,POINT (697237.793420237 9260604.858850239),47065.3262642747
kota tangerang,benda,35.344,89.88,38.52,8.372,Built-up,0.267,0.098,37.087,2023,1,0,-6.13,106.6657,POINT (684323.4810239893 9322138.7442283),5328.597405249021
kota tangerang,neglasari,31.143,52.686,36.82,11.542,Built-up,0.44,0.072,37.059,2022,3,0,-6.1429,106.6302,POINT (680389.7178841371 9320724.24707491),1931.4784710891356
jakarta barat,grogolpetamburan,19.513,32.325,39.77,6.01,Built-up,0.173,0.06,37.159,2020,10,0,-6.1634,106.7865,POINT (697682.7824330577 9318401.819517547),17521.516058978254
bogor,caringin,43.484,58.519,27.26,765.651,Tree cover,0.705,4.954,38.556,2021,3,0,-6.7366,106.866,POINT (706250.7211116689 9254974.847519254),46362.32308333035
bogor,sukamakmur,62.279,82.637,28.03,641.209,Tree cover,0.619,5.807,39.079,2024,2,0,-6.5936,107.0201,POINT (723354.9422609193 9270724.600625796),26675.11592262897
tangerang,cisauk,21.54,56.76,32.42,51.37,Tree cover,0.62,0.313,38.234,2022,7,0,-6.3391,106.6302,POINT (680322.5883389078 9299027.04612986),19709.554668696772
kota bekasi,rawalumbu,41.318,73.628,36.45,27.96,Built-up,0.246,0.131,39.888,2022,2,0,-6.2812,106.9942,POINT (720625.0314596968 9305290.61433063),1022.5795833735152
tangerang,curug,34.685,86.503,35.83,30.753,Built-up,0.391,0.142,36.721,2021,9,0,-6.2426,106.5661,POINT (673262.4444316217 9309720.246001033),10523.221235431392
bekasi,cikarangtimur,4.372,5.883,32.51,15.164,Cropland,0.459,0.085,23.131,2023,8,0,-6.2885,107.209,POINT (744396.6780989647 9304387.603264712),6480.645464023057
jakarta barat,grogolpetamburan,31.94,46.413,39.31,6.01,Built-up,0.144,0.06,37.78,2024,12,0,-6.1634,106.7865,POINT (697682.7824330577 9318401.819517547),17521.516058978254
kota bekasi,mustikajaya,36.323,50.709,36.58,32.768,Built-up,0.48,0.179,38.121,2022,5,0,-6.3076,107.0166,POINT (723092.9459239478 9302360.994251292),4593.738239883044
jakarta pusat,gambir,15.965,26.257,39.39,7.605,Built-up,0.207,0.061,37.159,2020,10,0,-6.1715,106.8181,POINT (701177.5279825472 9317494.161882194),21036.35601142455
bogor,ciampea,57.7,94.754,28.74,212.619,Tree cover,0.621,1.34,38.374,2023,3,0,-6.5742,106.698,POINT (687737.6436126172 9273002.865343481),42561.76971563473
jakarta selatan,kebayoranlama,33.581,52.604,38.25,25.395,Built-up,0.369,0.143,39.441,2022,5,0,-6.2495,106.7801,POINT (696942.3798246027 9308881.915358907),19491.85789866234
