NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
bogor,caringin,43.484,58.519,27.26,765.651,Tree cover,0.705,4.954,38.556,2021,3,0,-6.7366,106.866
bogor,sukamakmur,62.279,82.637,28.03,641.209,Tree cover,0.619,5.807,39.079,2024,2,0,-6.5936,107.0201
tangerang,cisauk,21.54,56.76,32.42,51.37,Tree cover,0.62,0.313,38.234,2022,7,0,-6.3391,106.6302
kota bekasi,rawalumbu,41.318,73.628,36.45,27.96,Built-up,0.246,0.131,39.888,2022,2,0,-6.2812,106.9942
tangerang,curug,34.685,86.503,35.83,30.753,Built-up,0.391,0.142,36.721,2021,9,0,-6.2426,106.5661
bekasi,cikarangtimur,4.372,5.883,32.51,15.164,Cropland,0.459,0.085,23.131,2023,8,0,-6.2885,107.209
jakarta barat,grogolpetamburan,31.94,46.413,39.31,6.01,Built-up,0.144,0.06,37.78,2024,12,0,-6.1634,106.7865
kota bekasi,mustikajaya,36.323,50.709,36.58,32.768,Built-up,0.48,0.179,38.121,2022,5,0,-6.3076,107.0166
jakarta pusat,gambir,15.965,26.257,39.39,7.605,Built-up,0.207,0.061,37.159,2020,10,0,-6.1715,106.8181
bogor,ciampea,57.7,94.754,28.74,212.619,Tree cover,0.621,1.34,38.374,2023,3,0,-6.5742,106.698
jakarta selatan,kebayoranlama,33.581,52.604,38.25,25.395,Built-up,0.369,0.143,39.441,2022,5,0,-6.2495,106.7801
kota bekasi,mustikajaya,17.607,49.326,33.37,32.768,Built-up,0.452,0.179,31.85,2024,7,0,-6.3076,107.0166
jakarta timur,ciracas,12.809,32.823,36.06,53.48,Built-up,0.372,0.263,40.046,2024,5,0,-6.3339,106.8784
depok,cilodong,16.351,48.005,34.14,106.017,Built-up,0.418,0.295,38.068,2023,7,0,-6.4303,106.8379
jakarta timur,kramatjati,20.078,68.415,39.1,30.295,Built-up,0.296,0.152,38.699,2021,9,0,-6.2763,106.8654
jakarta pusat,senen,9.993,17.765,36.68,10.007,Built-up,0.227,0.092,35.597,2021,7,0,-6.1842,106.8459
depok,cipayung,43.916,89.814,36.55,106.638,Built-up,0.473,0.3,40.53,2021,4,0,-6.4297,106.8028
jakarta timur,jatinegara,48.782,89.114,41.96,18.159,Built-up,0.217,0.126,37.368,2022,1,0,-6.2273,106.8774
jakarta timur,cakung,25.515,39.644,40.59,7.969,Built-up,0.22,0.102,38.017,2021,3,0,-6.1885,106.9409
bogor,ciseeng,37.761,47.355,32.26,99.044,Tree cover,0.645,0.396,41.182,2021,3,0,-6.4556,106.6785
bogor,jasinga,20.636,43.989,28.3,163.412,Tree cover,0.783,1.993,35.951,2020,6,0,-6.4806,106.4559
bogor,tamansari,67.523,102.704,29.39,715.585,Tree cover,0.622,6.987,37.605,2022,3,0,-6.6564,106.7458
bogor,tajurhalang,26.867,84.906,32.05,128.261,Tree cover,0.571,0.34,35.713,2024,8,0,-6.469,106.7596
bekasi,cikarangbarat,29.046,69.88,37.8,29.644,Built-up,0.422,0.174,37.461,2023,4,0,-6.2973,107.0941
jakarta utara,cilincing,15.712,49.528,37.53,3.19,Built-up,0.328,0.068,37.312,2021,4,0,-6.1243,106.9421
kota tangerang,cibodas,18.225,38.105,36.69,19.751,Built-up,0.314,0.128,35.281,2021,8,0,-6.2058,106.608
tangerang,teluknaga,21.583,36.934,33.23,3.313,Permanent water bodies,0.349,0.071,37.958,2021,3,0,-6.0499,106.6582
jakarta utara,penjaringan,23.92,41.774,31.27,3.083,Built-up,0.205,0.074,38.002,2021,3,0,-6.115,106.7639
depok,sukmajaya,27.214,88.379,35.65,88.001,Built-up,0.396,0.34,39.052,2023,6,0,-6.3973,106.8436
