NAME_2,NAME_3,avg_rainfall,max_rainfall,avg_temperature,elevation,landcover_class,ndvi,slope,soil_moisture,year,month,banjir,lat,long
kota tangerang,periuk,31.31,73.569,37.87,12.531,Built-up,0.274,0.129,38.395,2021,12,0,-6.1675,106.5943
bogor,gunungsindur,28.897,99.573,31.2,72.997,Tree cover,0.638,0.372,38.491,2023,6,0,-6.3871,106.6872
bogor,cibinong,35.92,97.23,34.12,134.037,Built-up,0.521,0.322,39.233,2023,5,0,-6.4839,106.8354
tangerang,sepatantimur,22.025,61.914,35.27,9.449,Built-up,0.401,0.066,36.156,2021,9,0,-6.1199,106.6084
jakarta selatan,tebet,19.662,43.52,39.77,17.948,Built-up,0.237,0.137,37.438,2023,4,0,-6.2289,106.8509
bekasi,babelan,11.424,31.873,36.66,3.768,Cropland,0.403,0.07,36.151,2023,12,0,-6.1257,107.0341
bogor,rancabungur,83.681,133.809,31.82,144.929,Tree cover,0.583,0.575,39.603,2020,2,0,-6.5217,106.7137
tangerang selatan,ciputat,43.379,76.475,36.56,44.431,Built-up,0.392,0.212,41.428,2024,3,0,-6.3082,106.7277
jakarta utara,penjaringan,10.753,21.552,34.06,3.083,Built-up,0.321,0.074,35.551,2021,7,0,-6.115,106.7639
bekasi,bojongmangu,48.467,80.115,29.28,48.869,Tree cover,0.657,0.584,38.493,2024,1,0,-6.4389,107.1778
tangerang,jambe,17.938,31.714,30.57,43.823,Tree cover,0.668,0.302,36.71,2020,6,0,-6.3238,106.4992
tangerang,curug,18.743,38.228,34.57,30.753,Built-up,0.448,0.142,35.849,2021,8,0,-6.2426,106.5661
tangerang,cikupa,14.515,33.565,33.77,25.2,Built-up,0.445,0.147,33.089,2024,8,0,-6.218,106.5159
kota bekasi,mustikajaya,20.46,43.242,33.66,32.768,Built-up,0.503,0.179,36.976,2022,6,0,-6.3076,107.0166
kota tangerang,larangan,31.915,58.2,39.02,21.351,Built-up,0.275,0.155,37.902,2020,5,0,-6.2392,106.733
tangerang,solear,22.55,47.146,31.11,39.539,Tree cover,0.677,0.297,33.738,2020,7,0,-6.3069,106.4215
jakarta barat,tamansari,42.305,64.442,39.31,6.894,Tree cover,0.1,0.061,37.78,2024,12,0,-6.1481,106.8184
kota tangerang,karawaci,46.625,69.862,38.27,16.788,Built-up,0.189,0.102,37.62,2024,12,0,-6.1812,106.618
bekasi,cibarusah,64.395,133.913,34.71,52.034,Cropland,0.496,0.394,35.48,2020,11,0,-6.434,107.1108
bekasi,cibarusah,15.788,24.848,33.99,52.034,Cropland,0.552,0.394,26.261,2024,10,0,-6.434,107.1108
tangerang,cikupa,34.851,73.213,29.8,25.2,Built-up,0.369,0.147,37.323,2020,12,0,-6.218,106.5159
jakarta utara,tanjungpriok,36.435,64.604,42.23,4.06,Built-up,0.176,0.101,38.077,2022,11,0,-6.1319,106.875
bogor,nanggung,63.719,102.445,27.82,848.241,Tree cover,0.395,5.957,37.923,2020,12,0,-6.6725,106.5377
kota tangerang,neglasari,38.633,63.029,35.88,11.542,Built-up,0.435,0.072,38.589,2020,3,0,-6.1429,106.6302
kota bogor,tanahsareal,33.785,103.188,32.5,184.459,Built-up,0.437,0.639,33.913,2024,7,0,-6.5468,106.7855
tangerang,sepatan,37.018,86.842,37.42,8.849,Built-up,0.367,0.052,37.999,2023,11,0,-6.1183,106.5801
tangerang,jayanti,24.565,41.214,31.6,18.626,Tree cover,0.573,0.144,36.589,2021,5,0,-6.2068,106.3983
kota bogor,bogorbarat,28.04,51.502,32.79,207.937,Built-up,0.484,0.658,37.161,2024,5,0,-6.5732,106.7655
jakarta utara,tanjungpriok,27.17,68.489,39.75,4.06,Built-up,0.187,0.101,38.527,2021,12,0,-6.1319,106.875
jakarta barat,cengkareng,16.933,42.879,36.3,5.286,Built-up,0.259,0.059,36.714,2021,6,0,-6.1515,106.7369
jakarta pusat,cempakaputih,16.049,35.161,37.48,8.401,Built-up,0.189,0.095,35.747,2022,8,0,-6.1809,106.8681
bekasi,babelan,13.78,32.998,36.19,3.768,Cropland,0.424,0.07,27.777,2020,9,0,-6.1257,107.0341
tangerang,mekarbaru,24.07,57.813,30.22,4.93,Cropland,0.381,0.066,35.601,2024,6,0,-6.062,106.3871
tangerang,sukadiri,22.766,63.676,32.95,4.864,Cropland,0.412,0.063,36.156,2021,9,0,-6.0699,106.559
tangerang selatan,ciputattimur,42.998,77.825,36.44,41.355,Built-up,0.392,0.245,41.228,2024,3,0,-6.2988,106.7556
bogor,tamansari,78.301,135.42,29.78,715.585,Tree cover,0.686,6.987,38.187,2022,4,0,-6.6564,106.7458
depok,beji,41.933,75.922,39.06,78.676,Built-up,0.359,0.279,40.782,2022,2,0,-6.3731,106.819
tangerang selatan,ciputat,12.903,26.217,35.11,44.431,Built-up,0.437,0.212,40.216,2024,5,0,-6.3082,106.7277
jakarta pusat,sawahbesar,79.548,144.55,31.44,7.059,Built-up,0.152,0.09,38.81,2020,2,0,-6.1539,106.8332
jakarta timur,cakung,16.737,38.004,36.65,7.969,Built-up,0.326,0.102,36.819,2021,6,0,-6.1885,106.9409
bogor,jonggol,49.099,97.389,31.56,186.743,Tree cover,0.692,2.153,37.447,2020,5,0,-6.4961,107.0456
bogor,ciawi,63.005,98.371,27.35,925.94,Tree cover,0.661,6.501,37.927,2023,4,0,-6.7091,106.8937
jakarta timur,cipayung,39.892,84.215,36.65,48.413,Built-up,0.502,0.257,41.007,2020,5,0,-6.3253,106.9036
jakarta utara,pademangan,85.351,137.337,38.27,3.198,Built-up,0.183,0.104,37.605,2020,1,0,-6.1301,106.8381
tangerang,mekarbaru,53.76,92.314,27.05,4.93,Cropland,0.149,0.066,37.609,2024,12,0,-6.062,106.3871
tangerang,sepatan,57.281,129.394,28.74,8.849,Built-up,0.279,0.052,38.005,2023,2,0,-6.1183,106.5801
bekasi,sukatani,18.857,36.194,31.53,9.292,Cropland,0.465,0.08,36.593,2022,6,0,-6.1918,107.1559
jakarta barat,cengkareng,11.031,22.38,36.39,5.286,Built-up,0.29,0.059,35.461,2021,7,0,-6.1515,106.7369
depok,sawangan,52.979,125.957,35.63,91.287,Tree cover,0.54,0.296,38.911,2021,9,0,-6.4067,106.7641
jakarta selatan,setiabudi,8.318,22.986,34.16,17.99,Built-up,0.345,0.133,36.884,2024,5,0,-6.2196,106.83
jakarta utara,kelapagading,18.212,38.687,40.3,5.514,Built-up,0.246,0.062,35.116,2020,9,0,-6.161,106.9037
bogor,ciseeng,54.491,112.225,31.98,99.044,Tree cover,0.657,0.396,40.654,2021,4,0,-6.4556,106.6785
kota tangerang,pinang,14.489,31.262,35.06,19.041,Built-up,0.405,0.132,34.593,2020,7,0,-6.2153,106.6662
kota tangerang,karawaci,19.32,54.212,36.6,16.788,Built-up,0.327,0.102,35.44,2022,7,0,-6.1812,106.618
jakarta timur,durensawit,33.218,67.177,39.74,16.888,Built-up,0.324,0.139,37.894,2020,5,0,-6.2325,106.9206
jakarta utara,koja,10.738,18.098,37.37,3.739,Built-up,0.205,0.063,35.597,2021,7,0,-6.1215,106.905
kota bekasi,bekasiselatan,34.964,55.739,36.38,22.99,Built-up,0.276,0.103,39.95,2020,4,0,-6.2582,106.9778
tangerang,curug,49.12,75.782,27.05,30.753,Built-up,0.261,0.142,38.553,2024,12,0,-6.2426,106.5661
tangerang,kronjo,6.849,21.844,36.05,4.048,Cropland,0.331,0.069,35.968,2024,10,0,-6.0703,106.4282
tangerang,panongan,41.336,54.979,36.75,36.953,Tree cover,0.486,0.192,38.229,2020,10,0,-6.2789,106.5262
tangerang,panongan,20.25,41.033,31.71,36.953,Tree cover,0.565,0.192,39.733,2024,5,0,-6.2789,106.5262
bogor,jonggol,45.733,80.402,29.14,186.743,Tree cover,0.552,2.153,38.296,2022,2,0,-6.4961,107.0456
tangerang,legok,34.649,86.998,33.81,43.009,Tree cover,0.591,0.179,40.697,2021,4,0,-6.3048,106.565
tangerang,rajeg,50.204,85.531,31.43,8.659,Cropland,0.301,0.105,38.265,2024,1,0,-6.1163,106.5103
bogor,tamansari,57.57,108.486,28.63,715.585,Tree cover,0.486,6.987,39.625,2020,1,0,-6.6564,106.7458
jakarta pusat,joharbaru,20.291,35.416,36.53,8.969,Built-up,0.169,0.076,36.954,2021,5,0,-6.1821,106.8546
jakarta barat,palmerah,29.149,40.752,39.31,10.559,Built-up,0.161,0.122,37.78,2024,12,0,-6.1917,106.7956
tangerang,jayanti,26.401,35.122,31.51,18.626,Tree cover,0.525,0.144,37.732,2022,6,0,-6.2068,106.3983
tangerang,cikupa,3.156,3.853,37.23,25.2,Built-up,0.358,0.147,25.558,2023,9,0,-6.218,106.5159
kota bogor,bogortimur,57.163,107.803,36.06,322.856,Built-up,0.371,1.429,39.14,2021,12,0,-6.6207,106.8264
tangerang,pakuhaji,13.678,32.264,31.01,3.922,Cropland,0.426,0.061,34.958,2023,7,0,-6.0602,106.6063
bogor,rancabungur,73.546,123.512,32.32,144.929,Tree cover,0.699,0.575,38.198,2023,4,0,-6.5217,106.7137
depok,pancoranmas,77.016,130.324,38.49,89.403,Built-up,0.357,0.285,40.853,2022,10,0,-6.3984,106.7998
tangerang selatan,setu,71.416,133.482,36.2,54.164,Tree cover,0.432,0.359,39.921,2023,11,0,-6.3637,107.0373
kota bekasi,bekasitimur,10.934,42.653,38.5,19.269,Built-up,0.288,0.113,27.685,2020,8,0,-6.2421,107.0191
bogor,parung,78.352,128.176,25.97,104.116,Tree cover,0.373,0.338,42.126,2021,2,0,-6.4349,106.7128
jakarta timur,cakung,11.418,27.865,37.16,7.969,Built-up,0.299,0.102,35.176,2020,7,0,-6.1885,106.9409
bogor,parungpanjang,34.307,77.445,31.24,65.388,Tree cover,0.627,0.569,40.422,2023,1,0,-6.3768,106.5551
jakarta pusat,senen,72.035,123.383,39.51,10.007,Built-up,0.193,0.092,37.605,2020,1,0,-6.1842,106.8459
bogor,gunungputri,33.091,44.145,35.6,81.462,Built-up,0.516,0.389,41.041,2021,3,0,-6.4052,106.9313
tangerang,rajeg,32.656,85.943,31.72,8.659,Cropland,0.477,0.105,36.408,2022,9,0,-6.1163,106.5103
bogor,rumpin,51.398,103.123,31.19,152.23,Tree cover,0.617,1.981,40.954,2022,12,0,-6.4596,106.6311
tangerang,cikupa,15.239,27.113,33.82,25.2,Built-up,0.473,0.147,35.759,2020,6,0,-6.218,106.5159
jakarta utara,tanjungpriok,2.301,6.697,37.93,4.06,Built-up,0.2,0.101,33.061,2023,10,0,-6.1319,106.875
jakarta pusat,tanahabang,6.089,8.26,35.75,12.45,Built-up,0.311,0.13,32.778,2023,8,0,-6.2054,106.8094
bekasi,karangbahagia,20.714,43.495,32.39,10.334,Cropland,0.503,0.08,35.544,2021,6,0,-6.2172,107.197
tangerang selatan,ciputat,41.242,74.295,38.63,44.431,Built-up,0.362,0.212,40.826,2022,2,0,-6.3082,106.7277
bekasi,cabangbungin,28.722,67.391,33.65,3.757,Cropland,0.41,0.053,35.536,2020,11,0,-6.0781,107.1363
kota bogor,bogorselatan,21.713,55.06,30.44,368.391,Tree cover,0.589,1.807,34.532,2023,7,0,-6.6447,106.8135
bogor,nanggung,56.787,73.315,25.55,848.241,Tree cover,0.555,5.957,38.957,2024,2,0,-6.6725,106.5377
bogor,jasinga,64.407,101.367,28.36,163.412,Tree cover,0.562,1.993,38.442,2024,1,0,-6.4806,106.4559
tangerang,sukadiri,15.281,27.905,34.34,4.864,Cropland,0.344,0.063,36.815,2020,10,0,-6.0699,106.559
tangerang selatan,ciputattimur,13.773,27.058,35.55,41.355,Built-up,0.424,0.245,38.98,2020,6,0,-6.2988,106.7556
bekasi,cikarangutara,74.31,102.272,35.65,17.902,Built-up,0.348,0.13,35.039,2024,11,0,-6.2754,107.1556
depok,beji,41.33,85.361,37.59,78.676,Built-up,0.292,0.279,41.41,2022,12,0,-6.3731,106.819
jakarta barat,palmerah,20.844,58.958,40.3,10.559,Built-up,0.2,0.122,36.758,2022,9,0,-6.1917,106.7956
tangerang,curug,39.65,69.639,31.54,30.753,Built-up,0.279,0.142,38.622,2022,2,0,-6.2426,106.5661
kota bekasi,bekasibarat,20.734,50.272,40.06,17.765,Built-up,0.295,0.161,37.522,2023,4,0,-6.2336,106.9628
jakarta barat,tambora,25.425,53.404,41.81,5.895,Built-up,0.113,0.048,38.384,2021,11,0,-6.1475,106.8035
jakarta barat,kalideres,5.567,6.74,35.84,5.258,Built-up,0.269,0.071,31.551,2023,8,0,-6.1346,106.7039
jakarta timur,matraman,36.517,47.394,38.32,12.702,Built-up,0.215,0.132,38.655,2024,4,0,-6.2036,106.8645
bekasi,sukawangi,17.568,38.945,31.66,3.12,Cropland,0.444,0.044,32.484,2022,8,0,-6.1187,107.091
depok,cilodong,60.724,108.975,36.48,106.017,Built-up,0.258,0.295,40.839,2021,1,0,-6.4303,106.8379
jakarta utara,penjaringan,40.331,57.104,35.15,3.083,Built-up,0.303,0.074,38.677,2024,4,0,-6.115,106.7639
kota bekasi,bantargebang,25.49,86.207,35.08,46.555,Built-up,0.495,0.262,38.587,2023,5,0,-6.3385,106.9912
depok,cinere,44.585,81.598,35.83,54.274,Built-up,0.42,0.287,41.151,2024,3,0,-6.3315,106.7894
depok,limo,14.163,29.117,33.97,73.923,Built-up,0.473,0.284,40.046,2024,5,0,-6.3686,106.7808
tangerang selatan,ciputat,25.899,38.454,38.25,44.431,Built-up,0.384,0.212,41.194,2021,3,0,-6.3082,106.7277
bogor,caringin,31.608,60.298,26.78,765.651,Tree cover,0.576,4.954,34.826,2021,8,0,-6.7366,106.866
bogor,pamijahan,67.167,115.626,27.62,827.34,Tree cover,0.678,5.169,39.219,2020,3,0,-6.6933,106.6596
depok,cinere,41.256,61.113,38.75,54.274,Built-up,0.427,0.287,41.6,2020,3,0,-6.3315,106.7894
bogor,rumpin,20.371,34.874,33.86,152.23,Tree cover,0.6,1.981,28.38,2023,10,0,-6.4596,106.6311
bogor,sukaraja,64.102,112.71,34.05,276.337,Tree cover,0.618,1.706,37.93,2023,4,0,-6.5792,106.8408
jakarta barat,kalideres,7.37,12.22,35.82,5.258,Built-up,0.264,0.071,33.937,2024,8,0,-6.1346,106.7039
jakarta barat,kembangan,28.654,57.834,41.51,10.349,Built-up,0.288,0.126,38.305,2021,11,0,-6.1982,106.7418
kota bekasi,bekasiutara,32.288,66.149,36.71,13.259,Built-up,0.165,0.12,38.035,2020,12,0,-6.2074,107.0064
tangerang,panongan,23.487,72.341,32.2,36.953,Tree cover,0.575,0.192,37.765,2022,7,0,-6.2789,106.5262
jakarta pusat,tanahabang,39.385,61.621,40.73,12.45,Built-up,0.289,0.13,38.65,2020,3,0,-6.2054,106.8094
bogor,parungpanjang,4.55,5.344,34.94,65.388,Tree cover,0.524,0.569,21.878,2023,9,0,-6.3768,106.5551
jakarta timur,jatinegara,10.862,47.88,38.85,18.159,Built-up,0.239,0.126,34.128,2020,8,0,-6.2273,106.8774
depok,beji,45.195,73.63,36.03,78.676,Built-up,0.4,0.279,40.568,2022,1,0,-6.3731,106.819
jakarta timur,ciracas,61.712,121.704,35.73,53.48,Built-up,0.195,0.263,41.09,2023,2,0,-6.3339,106.8784
bogor,parung,66.346,147.51,33.36,104.116,Tree cover,0.62,0.338,37.891,2021,9,0,-6.4349,106.7128
tangerang,mekarbaru,48.921,103.617,37.73,4.93,Cropland,0.4,0.066,38.554,2021,11,0,-6.062,106.3871
depok,cilodong,69.862,194.488,38.34,106.017,Built-up,0.373,0.295,39.61,2022,9,0,-6.4303,106.8379
tangerang,legok,49.782,98.432,36.69,43.009,Tree cover,0.473,0.179,40.666,2020,11,0,-6.3048,106.565
tangerang,cisauk,18.301,37.713,32.37,51.37,Tree cover,0.623,0.313,36.044,2020,7,0,-6.3391,106.6302
jakarta barat,kembangan,44.083,68.657,37.64,10.349,Built-up,0.321,0.126,38.427,2024,2,0,-6.1982,106.7418
kota tangerang,cipondoh,35.617,69.664,42.01,11.897,Built-up,0.272,0.115,38.259,2021,11,0,-6.1862,106.683
kota bogor,bogortimur,24.761,65.78,33.2,322.856,Built-up,0.525,1.429,36.037,2020,6,0,-6.6207,106.8264
depok,beji,59.79,105.384,36.48,78.676,Built-up,0.241,0.279,40.839,2021,1,0,-6.3731,106.819
jakarta timur,cakung,29.924,68.733,39.72,7.969,Built-up,0.147,0.102,38.286,2022,12,0,-6.1885,106.9409
jakarta barat,palmerah,79.385,133.353,38.11,10.559,Built-up,0.161,0.122,38.721,2021,2,0,-6.1917,106.7956
jakarta utara,tanjungpriok,6.203,18.033,37.92,4.06,Built-up,0.163,0.101,36.955,2024,10,0,-6.1319,106.875
bekasi,sukatani,18.562,34.258,31.45,9.292,Cropland,0.505,0.08,35.417,2021,5,0,-6.1918,107.1559
jakarta barat,kalideres,35.563,59.072,39.17,5.258,Built-up,0.314,0.071,38.589,2020,3,0,-6.1346,106.7039
tangerang,panongan,8.634,11.404,33.08,36.953,Tree cover,0.491,0.192,29.475,2023,8,0,-6.2789,106.5262
bekasi,serangbaru,60.477,125.595,35.32,47.778,Tree cover,0.486,0.25,35.48,2020,11,0,-6.3956,107.1143
tangerang,gunungkaler,55.394,79.709,31.52,8.194,Cropland,0.566,0.068,39.184,2024,4,0,-6.0957,106.3742
depok,sukmajaya,37.692,82.61,38.12,88.001,Built-up,0.302,0.34,40.535,2023,1,0,-6.3973,106.8436
bekasi,cikarangpusat,38.513,74.222,34.27,34.68,Built-up,0.508,0.347,37.996,2024,3,0,-6.3596,107.1836
bogor,tanjungsari,52.151,89.218,26.67,362.528,Tree cover,0.598,5.549,38.689,2024,1,0,-6.6115,107.1406
kota tangerang,benda,33.491,64.017,42.37,8.372,Built-up,0.327,0.098,38.259,2021,11,0,-6.13,106.6657
kota tangerang,tangerang,54.733,72.259,37.62,17.193,Built-up,0.298,0.112,38.383,2024,11,0,-6.1888,106.6406
kota bogor,bogortengah,40.44,85.144,32.57,250.378,Built-up,0.432,0.88,35.963,2024,6,0,-6.5932,106.7986
bogor,dramaga,41.396,87.306,30.11,248.285,Tree cover,0.653,1.71,36.246,2024,6,0,-6.5888,106.7298
depok,cinere,43.328,78.935,38.14,54.274,Built-up,0.356,0.287,40.782,2022,2,0,-6.3315,106.7894
bogor,cigombong,62.615,106.969,27.99,688.475,Tree cover,0.609,4.624,38.631,2024,3,0,-6.7461,106.8128
jakarta barat,kebonjeruk,15.995,52.498,36.32,10.059,Built-up,0.263,0.118,36.081,2023,6,0,-6.1895,106.7691
kota tangerang,periuk,25.514,63.859,33.4,12.531,Built-up,0.323,0.129,36.032,2024,6,0,-6.1675,106.5943
kota bogor,bogortimur,110.875,281.509,37.85,322.856,Built-up,0.46,1.429,36.575,2021,10,0,-6.6207,106.8264
bekasi,bojongmangu,31.16,52.184,30.09,48.869,Tree cover,0.744,0.584,35.564,2021,5,0,-6.4389,107.1778
bekasi,cikarangbarat,35.062,95.133,38.45,29.644,Built-up,0.343,0.174,33.056,2022,9,0,-6.2973,107.0941
kota bekasi,bekasibarat,17.894,34.918,41.34,17.765,Built-up,0.257,0.161,35.142,2020,9,0,-6.2336,106.9628
bogor,tenjo,43.779,69.364,31.77,60.385,Tree cover,0.665,0.368,37.913,2022,1,0,-6.3723,106.4794
bogor,jasinga,71.616,112.212,32.76,163.412,Tree cover,0.517,1.993,39.417,2021,2,0,-6.4806,106.4559
jakarta timur,cipayung,11.325,25.503,34.62,48.413,Built-up,0.436,0.257,36.255,2024,8,0,-6.4297,106.8028
jakarta selatan,jagakarsa,22.543,78.685,35.3,57.304,Built-up,0.421,0.27,39.052,2023,6,0,-6.334,106.8224
kota tangerang,karangtengah,12.076,23.646,36.46,13.076,Built-up,0.377,0.156,35.414,2021,7,0,-6.2101,106.7097
bekasi,serangbaru,54.233,94.498,29.5,47.778,Tree cover,0.417,0.25,37.51,2024,12,0,-6.3956,107.1143
jakarta selatan,jagakarsa,24.895,48.363,32.77,57.304,Built-up,0.436,0.27,39.253,2024,6,0,-6.334,106.8224
tangerang,tigaraksa,20.575,41.982,31.3,29.506,Tree cover,0.632,0.225,37.105,2024,5,0,-6.2657,106.4673
kota bekasi,jatisampurna,12.224,21.729,34.02,69.311,Built-up,0.529,0.278,39.037,2020,6,0,-6.3654,106.9249
tangerang,sukadiri,22.328,38.039,30.95,4.864,Cropland,0.368,0.063,37.958,2021,3,0,-6.0699,106.559
kota bekasi,pondokmelati,52.507,88.506,37.97,38.409,Built-up,0.271,0.242,40.589,2024,12,0,-6.3095,106.9282
bogor,rumpin,73.762,150.94,30.94,152.23,Tree cover,0.726,1.981,39.939,2020,11,0,-6.4596,106.6311
bogor,tenjo,48.552,96.899,29.41,60.385,Tree cover,0.462,0.368,38.683,2021,1,0,-6.3723,106.4794
jakarta utara,kelapagading,20.359,47.665,41.21,5.514,Built-up,0.233,0.062,37.655,2020,11,0,-6.161,106.9037
jakarta barat,kebonjeruk,7.956,13.878,35.89,10.059,Built-up,0.262,0.118,34.586,2024,8,0,-6.1895,106.7691
tangerang,tigaraksa,9.695,13.138,32.8,29.506,Tree cover,0.534,0.225,27.853,2023,8,0,-6.2657,106.4673
tangerang,jayanti,58.142,91.179,35.16,18.626,Tree cover,0.545,0.144,37.684,2022,10,0,-6.2068,106.3983
bekasi,bojongmangu,21.021,51.774,33.62,48.869,Tree cover,0.538,0.584,36.202,2023,12,0,-6.4389,107.1778
tangerang,sukadiri,21.89,61.666,30.29,4.864,Cropland,0.483,0.063,36.032,2024,6,0,-6.0699,106.559
bogor,cisarua,25.954,55.097,23.41,1216.752,Tree cover,0.748,7.714,35.945,2024,6,0,-6.6985,106.9552
jakarta barat,kalideres,1.274,1.62,38.12,5.258,Built-up,0.241,0.071,28.16,2023,9,0,-6.1346,106.7039
jakarta timur,durensawit,32.804,64.403,39.24,16.888,Built-up,0.244,0.139,38.425,2021,11,0,-6.2325,106.9206
kota tangerang,cipondoh,24.058,43.897,39.55,11.897,Built-up,0.306,0.115,37.958,2021,3,0,-6.1862,106.683
bogor,tenjo,17.216,52.253,29.39,60.385,Tree cover,0.726,0.368,34.77,2023,7,0,-6.3723,106.4794
bogor,parungpanjang,33.351,53.119,30.01,65.388,Tree cover,0.688,0.569,41.211,2022,6,0,-6.3768,106.5551
jakarta utara,penjaringan,31.98,70.363,33.85,3.083,Built-up,0.181,0.074,38.269,2022,12,0,-6.115,106.7639
tangerang,sukadiri,72.02,119.25,29.32,4.864,Cropland,0.294,0.063,38.758,2021,2,0,-6.0699,106.559
jakarta utara,penjaringan,15.926,41.027,34.6,3.083,Built-up,0.295,0.074,36.711,2023,5,0,-6.115,106.7639
bogor,cibungbulang,46.5,72.764,32.71,236.566,Tree cover,0.531,1.249,37.528,2022,1,0,-6.5761,106.661
tangerang,kelapadua,41.397,75.083,36.67,27.206,Built-up,0.415,0.146,38.851,2020,5,0,-6.2426,106.6094
jakarta selatan,kebayoranlama,64.228,131.654,37.34,25.395,Built-up,0.15,0.143,39.642,2023,2,0,-6.2495,106.7801
bogor,gunungsindur,45.753,87.217,32.81,72.997,Tree cover,0.617,0.372,41.853,2021,12,0,-6.3871,106.6872
bogor,cigombong,63.951,100.461,27.28,688.475,Tree cover,0.525,4.624,38.667,2024,1,0,-6.7461,106.8128
depok,tapos,22.633,33.878,36.68,98.048,Built-up,0.5,0.278,39.182,2024,10,0,-6.4192,106.8805
bogor,parung,69.557,127.561,29.44,104.116,Tree cover,0.47,0.338,40.893,2020,1,0,-6.4349,106.7128
kota tangerang,batuceper,69.069,125.868,39.23,10.341,Built-up,0.211,0.068,37.386,2020,1,0,-6.1618,106.6703
bogor,caringin,37.783,71.341,26.43,765.651,Tree cover,0.741,4.954,36.954,2021,6,0,-6.7366,106.866
tangerang selatan,pamulang,2.663,3.3,38.18,59.039,Built-up,0.347,0.233,24.567,2023,9,0,-6.3395,106.7391
kota bogor,bogortimur,75.001,138.296,35.96,322.856,Built-up,0.417,1.429,38.035,2020,11,0,-6.6207,106.8264
bogor,rumpin,105.517,191.574,31.67,152.23,Tree cover,0.652,1.981,39.471,2023,11,0,-6.4596,106.6311
jakarta selatan,pancoran,31.952,70.97,37.94,25.372,Built-up,0.248,0.19,40.51,2021,12,0,-6.2553,106.8436
bogor,klapanunggal,46.075,84.129,23.38,203.856,Tree cover,0.573,3.061,40.163,2023,3,0,-6.483,106.9553
jakarta pusat,gambir,2.177,9.534,39.69,7.605,Built-up,0.173,0.061,38.384,2021,11,0,-6.1715,106.8181
jakarta selatan,kebayoranbaru,25.264,56.862,40.14,22.272,Built-up,0.296,0.16,38.524,2020,11,0,-6.2447,106.8014
kota tangerang,tangerang,50.263,95.267,41.72,17.193,Built-up,0.304,0.112,38.259,2021,11,0,-6.1888,106.6406
tangerang,pagedangan,49.042,81.633,34.39,39.721,Tree cover,0.563,0.198,41.242,2022,5,0,-6.2973,106.6175
bogor,sukajaya,57.275,121.367,26.01,847.126,Tree cover,0.755,5.604,37.726,2021,4,0,-6.6313,106.4705
bogor,citeureup,68.563,119.644,25.91,229.087,Tree cover,0.333,2.772,39.217,2023,2,0,-6.525,106.8924
bekasi,cikarangpusat,35.153,69.051,36.18,34.68,Built-up,0.38,0.347,39.054,2021,12,0,-6.3596,107.1836
tangerang,sukadiri,58.992,135.31,28.47,4.864,Cropland,0.297,0.063,38.005,2023,2,0,-6.0699,106.559
tangerang,kosambi,15.879,33.438,37.71,3.034,Built-up,0.296,0.058,34.281,2020,9,0,-6.0809,106.685
bekasi,cibitung,31.167,53.224,34.95,14.027,Cropland,0.472,0.106,38.08,2022,3,0,-6.2357,107.1004
bogor,cariu,22.969,72.894,29.11,143.845,Tree cover,0.7,2.107,33.649,2023,6,0,-6.5273,107.1371
jakarta selatan,jagakarsa,30.336,85.737,37.98,57.304,Built-up,0.399,0.27,38.923,2021,9,0,-6.334,106.8224
bogor,jasinga,116.575,166.487,28.78,163.412,Tree cover,0.766,1.993,38.863,2024,11,0,-6.4806,106.4559
tangerang,cisauk,78.455,119.291,32.94,51.37,Tree cover,0.622,0.313,42.223,2024,4,0,-6.3391,106.6302
tangerang,sepatantimur,16.594,47.719,31.91,9.449,Built-up,0.463,0.066,34.437,2024,7,0,-6.1199,106.6084
bogor,tenjolaya,79.845,143.686,27.5,736.012,Tree cover,0.683,6.928,38.504,2020,5,0,-6.6537,106.708
kota tangerang,benda,35.314,55.584,39.43,8.372,Built-up,0.208,0.098,37.68,2022,10,0,-6.13,106.6657
jakarta timur,pulogadung,78.86,126.34,38.11,10.47,Built-up,0.159,0.136,38.721,2021,2,0,-6.1932,106.889
jakarta barat,cengkareng,50.504,99.531,38.35,5.286,Built-up,0.195,0.059,37.199,2022,1,0,-6.1515,106.7369
jakarta selatan,setiabudi,39.801,51.49,36.11,17.99,Built-up,0.322,0.133,38.655,2024,4,0,-6.2196,106.83
bogor,parung,45.697,79.277,34.41,104.116,Tree cover,0.503,0.338,40.834,2022,2,0,-6.4349,106.7128
tangerang,sukamulya,24.347,41.136,31.43,14.287,Cropland,0.567,0.136,38.169,2021,3,0,-6.1604,106.4362
bekasi,cikarangtimur,8.669,34.074,33.61,15.164,Cropland,0.53,0.085,26.012,2020,8,0,-6.2885,107.209
bekasi,sukakarya,55.745,85.655,34.93,5.911,Cropland,0.39,0.05,38.008,2022,11,0,-6.1449,107.1856
depok,beji,82.923,138.194,37.67,78.676,Built-up,0.364,0.279,41.387,2021,11,0,-6.3731,106.819
bekasi,kedungwaringin,78.194,113.419,34.1,10.722,Cropland,0.393,0.076,39.567,2021,11,0,-6.2516,107.2483
jakarta timur,matraman,39.575,72.411,38.4,12.702,Built-up,0.224,0.132,37.662,2022,2,0,-6.2036,106.8645
depok,bojongsari,44.303,72.538,38.44,87.016,Built-up,0.494,0.265,40.384,2022,3,0,-6.3943,106.7378
